id,attack_state,pred
378,1,1
47559,1,0
74411,1,1
68224,1,0
21448,1,1
120008,1,1
34190,1,1
32652,1,1
111622,1,1
65724,1,1
112390,1,0
30474,1,1
72965,1,0
80856,1,1
9810,1,1
51122,1,1
48798,1,1
73934,1,1
13282,1,1
22630,1,1
47364,1,1
90865,1,1
13996,1,0
105727,1,1
75035,1,1
85888,1,1
39259,1,1
51499,1,1
103195,1,1
46226,1,1
33413,1,1
59098,1,1
17965,1,1
53561,1,0
92902,1,0
109885,1,1
70165,1,1
114070,1,1
50926,1,1
47463,1,1
28912,1,1
67012,1,1
40207,1,1
40191,1,1
44716,1,1
6098,1,1
17819,1,1
114476,1,1
19183,1,1
39694,1,1
30774,1,1
79127,1,1
36075,1,1
97461,1,1
68064,1,1
74067,1,1
40146,1,1
125534,1,1
79129,1,1
110591,1,1
33693,1,1
50077,1,1
56854,1,1
58732,1,1
85156,1,1
101543,1,0
67343,1,1
9430,1,1
71259,1,1
24891,1,1
98666,1,1
2807,1,1
107426,1,1
17078,1,1
1176,1,1
19524,1,1
110940,1,1
7215,1,1
58145,1,1
82107,1,0
71514,1,1
53367,1,1
65611,1,1
69512,1,1
82610,1,1
84696,1,1
68188,1,1
109816,1,1
98947,1,1
38404,1,1
119139,1,1
99876,1,1
27673,1,0
112174,1,1
15122,1,1
52220,1,1
12734,1,1
55921,1,1
96380,1,1
105785,1,1
105119,1,1
62364,1,1
67190,1,1
15866,1,0
54296,1,1
113123,1,1
94683,1,1
34104,1,1
111881,1,1
12579,1,1
74568,1,1
82449,1,1
73423,1,1
115145,1,1
94940,1,1
48693,1,1
93671,1,1
50454,1,1
12475,1,1
18387,1,0
34786,1,1
30181,1,0
75272,1,1
14447,1,1
886,1,1
10045,1,1
13938,1,1
37453,1,1
52944,1,1
32220,1,1
90923,1,1
100898,1,1
116940,1,1
8768,1,1
99136,1,1
114143,1,1
106645,1,1
93919,1,1
107249,1,1
95778,1,1
49299,1,1
3287,1,1
112402,1,1
31397,1,0
121105,1,1
56418,1,1
13757,1,1
93279,1,1
98294,1,1
68655,1,1
51945,1,1
72801,1,1
104381,1,0
123848,1,1
86776,1,1
105932,1,1
2891,1,1
28264,1,1
81307,1,1
50573,1,1
52007,1,1
39929,1,1
84721,1,1
42218,1,1
93534,1,1
66676,1,1
65024,1,1
41414,1,1
79694,1,1
57664,1,1
60956,1,1
4939,1,1
24954,1,1
110780,1,1
55955,1,1
12503,1,1
44855,1,0
49807,1,1
95362,1,1
43291,1,1
75635,1,1
33806,1,1
60999,1,1
26778,1,1
102446,1,1
107992,1,1
12601,1,1
60350,1,1
116741,1,1
29130,1,0
56000,1,1
90147,1,1
19837,1,1
36504,1,1
86238,1,0
550,1,1
70918,1,0
36480,1,0
104166,1,1
98311,1,1
58102,1,1
56709,1,1
28260,1,0
3995,1,1
80286,1,1
119194,1,0
84623,1,1
119737,1,1
122691,1,1
60996,1,1
96257,1,1
60979,1,1
23779,1,1
82631,1,1
35621,1,1
47479,1,1
16528,1,1
20306,1,1
270,1,1
82253,1,1
79499,1,1
85325,1,1
7119,1,1
226,1,1
1938,1,1
123780,1,1
54481,1,1
83709,1,1
105803,1,1
71181,1,1
76163,1,1
59369,1,1
82661,1,1
43198,1,1
62050,1,1
36306,1,1
119111,1,1
112638,1,1
62697,1,1
48491,1,0
108489,1,0
101887,1,1
50537,1,1
47920,1,1
22932,1,1
18265,1,1
52373,1,1
73607,1,1
87101,1,1
44182,1,1
70870,1,1
83069,1,1
94262,1,1
38114,1,1
93477,1,1
8683,1,1
120114,1,1
109882,1,1
21445,1,0
108793,1,1
65811,1,1
70703,1,1
125072,1,1
56376,1,1
9679,1,1
3161,1,1
94343,1,0
67397,1,1
49782,1,1
36762,1,1
74183,1,1
65292,1,1
77397,1,1
107859,1,1
109641,1,1
28326,1,0
97176,1,1
102637,1,1
110263,1,0
107160,1,1
32455,1,1
90929,1,1
646,1,1
80917,1,1
18607,1,1
61345,1,1
118890,1,1
30813,1,1
61299,1,1
76401,1,1
69147,1,1
49371,1,1
58292,1,1
125089,1,1
19055,1,1
98916,1,1
105861,1,1
84402,1,1
15943,1,1
114092,1,1
8563,1,1
11232,1,1
95878,1,1
47675,1,1
33771,1,1
59378,1,1
13735,1,1
91144,1,1
103507,1,1
62202,1,1
62027,1,0
96659,1,1
39189,1,1
48836,1,1
91409,1,1
124926,1,1
82689,1,1
91349,1,1
48729,1,1
90676,1,1
110344,1,1
107222,1,1
33182,1,0
48696,1,1
70962,1,0
72208,1,0
73812,1,1
58403,1,1
89868,1,1
104325,1,0
79116,1,1
67591,1,1
19342,1,0
96674,1,1
10501,1,1
32445,1,1
38189,1,0
44011,1,1
8311,1,1
100580,1,1
108448,1,1
105954,1,1
111864,1,0
47256,1,0
56357,1,1
72741,1,1
11735,1,1
49701,1,1
