id,attack_state,pred
378,1,1
47559,1,1
119105,0,0
74411,1,1
68224,1,1
110212,0,0
21448,1,1
120008,1,1
34190,1,1
32652,1,1
111622,1,1
65724,1,1
112390,1,1
30474,1,1
72965,1,1
108845,0,0
80856,1,1
64020,0,0
9810,1,1
51122,1,1
48798,1,1
73934,1,0
13282,1,1
22630,1,1
47364,1,1
90865,1,1
13996,1,1
31006,0,0
56585,0,1
46932,0,0
105727,1,1
31612,0,0
24824,0,0
75035,1,1
85888,1,1
39259,1,1
51499,1,1
33558,0,0
103195,1,1
80540,0,0
26711,0,0
80284,0,0
123814,0,0
29537,0,0
46226,1,1
33413,1,1
59098,1,1
17965,1,1
28135,0,0
53561,1,0
92902,1,0
4083,0,0
7031,0,0
33877,0,0
109885,1,1
75654,0,0
91082,0,0
70165,1,1
1199,0,0
114070,1,1
20322,0,0
118265,0,0
23603,0,0
50926,1,1
80711,0,0
2071,0,0
92191,0,0
47463,1,1
58289,0,0
124084,0,0
113970,0,0
59120,0,1
1599,0,0
28912,1,0
25868,0,0
42360,0,0
121483,0,0
67012,1,1
58532,0,1
40207,1,0
40191,1,1
17917,0,0
49685,0,0
44716,1,0
100622,0,0
105267,0,0
6098,1,1
7395,0,1
17819,1,1
115676,0,0
114476,1,1
19183,1,1
85763,0,0
39694,1,1
30774,1,1
90843,0,0
79127,1,1
20201,0,0
65042,0,0
90019,0,0
20070,0,0
36075,1,1
97461,1,1
96065,0,0
68064,1,1
40393,0,1
74067,1,1
74037,0,0
40146,1,1
125534,1,1
10201,0,0
79129,1,0
52094,0,0
27686,0,0
100465,0,0
110591,1,1
33693,1,1
50077,1,1
56854,1,1
33505,0,0
118008,0,0
35731,0,1
58732,1,1
21371,0,0
54468,0,0
85156,1,1
101543,1,0
67343,1,1
67226,0,0
107416,0,0
68313,0,0
28977,0,0
9430,1,1
89956,0,0
71259,1,1
24891,1,1
98666,1,1
2807,1,1
115126,0,0
30021,0,0
107426,1,1
67747,0,0
17078,1,1
1176,1,1
25788,0,0
9187,0,0
19524,1,1
110940,1,1
84100,0,0
89309,0,0
43440,0,0
72038,0,0
107264,0,0
25462,0,0
7215,1,1
9214,0,0
114949,0,0
58145,1,1
82107,1,1
201,0,0
71514,1,1
51231,0,0
90717,0,0
124002,0,0
50223,0,0
115081,0,0
53367,1,1
17372,0,0
65611,1,1
69512,1,1
114887,0,0
12990,0,0
82610,1,1
